epoch,accuracy,loss,val_accuracy,val_loss
0,0.34735676646232605,1.331281304359436,0.4121037423610687,1.2773810625076294
1,0.6269028782844543,1.0201501846313477,0.6368876099586487,0.9497475624084473
2,0.7796844840049744,0.6070412993431091,0.6772334575653076,0.816049337387085
3,0.8405756950378418,0.4284598231315613,0.6974063515663147,0.7962204217910767
4,0.8798782229423523,0.3419938385486603,0.6916426420211792,0.8333781361579895
5,0.9092167019844055,0.2766900956630707,0.6599423885345459,0.8603829741477966
6,0.924162745475769,0.23001331090927124,0.6685879230499268,0.9226527214050293
7,0.9366177916526794,0.19515575468540192,0.6685879230499268,1.0211305618286133
8,0.9468585848808289,0.1688239872455597,0.6599423885345459,1.0941736698150635
9,0.9590368270874023,0.1406295895576477,0.6570605039596558,1.113742470741272
10,0.9601439237594604,0.12490622699260712,0.6628242135047913,1.2041107416152954
11,0.9640188217163086,0.11792248487472534,0.6685879230499268,1.2658867835998535
12,0.9695543646812439,0.10372678190469742,0.6541786789894104,1.2802889347076416
13,0.9712150692939758,0.09714750945568085,0.6599423885345459,1.3567179441452026
14,0.9709382653236389,0.09158402681350708,0.6628242135047913,1.3470185995101929
15,0.971491813659668,0.08552674204111099,0.6628242135047913,1.4096466302871704
16,0.973706066608429,0.08503978699445724,0.6570605039596558,1.4288840293884277
17,0.975643515586853,0.07718496769666672,0.6657060384750366,1.4232594966888428
18,0.975643515586853,0.07454352080821991,0.6714697480201721,1.4465599060058594
19,0.9759202599525452,0.07302629202604294,0.6772334575653076,1.5052486658096313
20,0.9781345129013062,0.06876974552869797,0.6685879230499268,1.521881341934204
21,0.9759202599525452,0.06793731451034546,0.6685879230499268,1.477522373199463
22,0.9773041605949402,0.06382396072149277,0.6426513195037842,1.587256669998169
23,0.9761970639228821,0.06716112047433853,0.6599423885345459,1.555039644241333
24,0.975089967250824,0.06737388670444489,0.6685879230499268,1.5604896545410156
